artists,titles
Johann Sebastian Bach and  Catherine Latham and  Maya Homburger and  The Monteverdi Choir and  English Baroque Soloists and  John Eliot Gardiner,"Himmelskonig, sei willkommen, BWV 182: Sinfonia"
Shannon Hurley,Sunrise
Al Jarreau,Cold Duck
The Subjects,The Hounds of War
Jerry Reed,Hooray for Chuck Berry
Wu-Tang Clan,C.R.E.A.M.
Melba Moore,Natural Part of Everything
William Walton and  New Zealand Symphony Orchestra,"Partita for Orchestra, C. 67: III. Giga burlesca. Allegro gioviale (Live)"
Gian Marco,Sentirme Vivo
Troy Ave,So True
Haley Klinkhammer,You Carried Me
Märtini Brös,Why! Feat. Louie Austen
Imhotep,Last Gulfstream
Max Bruch and  Takako Nishizaki and  Slovak Philharmonic and  Stephen Gunzenhauser,"Violin Concerto No. 1 in G Minor, Op. 26: III. Finale: Allegro energico"
Strong Bad,Mr. Poofers Must Die
David Picco,September
Lakou Mizik,Is Fa Ti Bo
Parabellum,Rock'n Roll
Al Hirt,There's a Great Day Comlng
Southpaw Jones,Everyman
Bedřich Smetana and  Slovak State Philharmonic Orchestra and  Kosice and  Reinhard Seifried,"Má vlast, JB 1:112: No. 5. Tabor"
Razorbats,Transformer
Layzie Bone and A.K.,Gone Get Ghost
Cindy Tells Me,Modern Williamsburg
Luis de Pablo and  Adam Levin,Turris Eburnea (Ivory Tower)
Antonio Vivaldi and  Susanne Lautenbacher and  Jörg Faerber and  Württemberg Chamber Orchestra,"The Four Seasons, ""L'autunno"" (Autumn)‚ Op. 8, No. 3"
Janice Whaley,Half a Person
Anonymous and  Accentus Ensemble and  Thomas Wimmer,"O voy [Romanzen, aus ""Cancionero de Palacio"", 1490-1530]: O voy"
Testors,Don't Tell Me
Todd Burge,She Looks up to Me (Because She Has To)
Sløtface,Stuff
Martin Taylor,Swing 42
Ludwig van Beethoven and  Günter Wand,"Symphony No. 6 in F Major, Op. 68, ""Pastorale"": II. Andante molto moto (Scene by the brook)"
Smokey Brights,Be a Man
John Thomas and  Pauline Haas,The Minstrel's Adieu to His Native Land
Boyce Avenue,Given Up
Tradicional and  Winchester Cathedral Choir and  David Hill,O Little Town Of Bethlehem
Wolfchild,I Walk Away
Mitch Haupers and  Bob Mintzer and  Alan Pasqua and  Darek Oleszkiewicz and  Peter Erskine,Isla Mujeres
Travie McCoy,Critical (feat. Tim William)
Thomas Tallis and  Magnificat and  Philip Cave,Mass for Four Voices: Mass for Four Voices: II. Credo
Willie Colón,Talento De Televisión
Cowboy X,Better Left Unsaid
Jon Hopkins,Glasstop
Mike Zito,Judgment Day
Emarosa,Help You Out
The Spiritual Machines,A Simple Plan
Frankie Cosmos,Even Though I Knew
"""The Devilz Rejects""",Vengeance feat: GZA & Chan
X-Sonic,Let's Run Away (2010 Version)
Lou Reid & Carolina,Emmaline
Hooray for Our Side,Way Out
Ilse DeLange,OK
Pepe,Les œufs
Ian Martyn,"L'ouverture Tactice (from ""Final Fantasy Tactics"")"
Rigor Mortis,Die in Pain
MediaCrime,1939
Perry Como,You Are Never Far Away From Me - Remastered
No Spill Blood,White Out
Chuck Strangers,"1010 Wins, Pt. 1 & Pt. 2"
Tesla Principle,Soul River
Puhdys,Karriere
Antoine Brumel and  Huelgas Ensemble and  Paul Van Nevel,"Missa ""Et ecce terrae motus"" A 12 voce: Sanctus: a. Sanctus - Voice"
The Dubliners,Cod Liver Oil
Charlotte Lawrence,Joke's On You
Slovak Radio Symphony Orchestra and  Peter Breiner and  Ibrahim Nasir Al-Soula,"Kuwait: ""Kuwait, Kuwait, Kuwait, My Country…"""
The Lost Fingers,Give It Away
Phyllis Curtin,O Tannenbaum
Backworld,Come the Bells
Sara Evans,These Four Walls
Poco,You've Got Your Reasons
The Headlocks,The Round Up
Aina,Rolling Snowball
Edvard Grieg and  Balazs Szokolay,"Lyric Pieces, Book 1, Op. 12: Valse Mélancolique, Op. 68, No. 6"
Ludwig van Beethoven and  Alexander Titov and  The New Classical Orchestra and  St. Petersburg New Classical Orchestra,"Leonore Overture No. 3, Op. 72b"
Frédéric Chopin and  Louis Lortie,"Ballade No. 3 in A-Flat Major, Op. 47"
The Heavy Guilt,Run in Circles
Tom Browne and  Joyce San Mateo,Life (feat. Joyce San Mateo)
Brandi Carlile,"What Can I Say - Live at Sony Connect, Santa Monica, CA - September 2005"
Tony Spinner,Bell Bottom Blues
Caleb Ryan,Part of My Home
Gebhard Ullmann and  Chris Dahlgren and  Art Lande,Das Tiefe A
Kyo and  Sita,Le chemin (feat. Sita)
Nashville Mandolins,Old Rugged Cross
Karl Amadeus Hartmann and  Netherlands Radio Chamber Philharmonic,"Symphony No. 5, ‘Sinfonia concertante’: I. Toccata"
"Barbara Dane and  ""Lightnin Hopkins""",Mother Earth
Michael Cerveris,Amazing Journey
Saint Vitus,Darkness
Christopher Williams,Every Little Thing U Do (Album Version)
Bag of Tricks Cat and  Mega Ran and  Elluna and  Jarred The Alien,Love Is Here
Clayton & Fulcrum,Naudain Shuffle
Sting and  Cantus,Valparaiso
"""Rays Vast Basement""",Tia Ignacia
Larry Carlton,Nite Crawler
Pig&Dan,Lost Another Angel - (Dub) [Mixed]
Coolio,1-2-3-4 (Sumpin' New)
Jimmy Martin,Free Born Man
Deborah Bartley,Winter
Luisito Carrion,De Que Vale La Existencia
Traditional and  Bedouin Musicians,"Mili 'allaya mili - Lean on me, lean"
John Robinson and  PVD,Miles & Trane
Vince Gill,Livin' The Way I Do
Juan Silos Jr. & Rondalla,Pagtatanim (Planting Rice)
Zak Schaffer,I Can't Stop
T-Sale,Ta robe barre
Lil Sin,The Game Done Changed
Songs To Your Eyes,Where I Need To Be
"""LIL LOS and  WOODIE and  XO""",Business As Usual
Midnight Siren,Take A Stand
Jason Ricci & The Bad Kind,Something Just Arrived
Tristan Moore,Remembrance
Clarence Tater Tate and  Nashville Grass,Fiddlin' Cricket
The Arm,"We, The Privileged Few"
Josh Whelchel,While the Heat's Hot (Gameplay - Urgent)
Glory Oath + Blood and  Mythix,Victory Unveiled
Sean Sheridan,Sleepless
Dillon Francis and  Arcangel and  Quimico Ultra Mega,Ven
Spice 1,All He Wrote
Billie Holiday,Night and Day
Red Tape,Aftermath
Little Big,Liar
Earth Liberation Front,Amazingly Hypocritical
Paul Cienniwa and  Sam Ou,"Cello Suite with Harpsichord Figured Bass, op. 110: Gigue"
Shakey Graves,The Perfect Parts - Audiotree Live Version
Scottish National Jazz Orchestra and  Ingrid Jenson,The Maids of Cadiz
Giyo,Take Care of You
Quakers and  Radioactivists,Radiola
Danger Is My Middle Name,Give It Up
Caitlin Cary,Lorraine Today
Jérôme Minière,Étincelles
Superchunk,Eastern Terminal
Buddy Spicher & The Nashville Superpickers,"Say Old Man, Can You Play The Fiddle? - Instrumental"
Tampa Red,"Come On Mama, Do That Dance"
The Curtains,Death Constellation
Ronnie Earl,TBone Stomp
Ripping Corpse,Seduction Of The Innocent
Richie Allen Buchborn,Stand Up
Los Lobos,Don't Worry Baby
"""Pickin On Series""",The Boys From Ireland - Original Composition Inspired by the Music of U2
Gösta Berlings Saga,Västerbron 05:30 - Live
Rebecca Luker,I Have Confidence
Olly Anna,Work It Out
Julian & Roman Wasserfuhr,Bill's Religion
Boss Hogg Outlawz and  Slim Thug,Freestyle #9 - Feat. Tip & Bun B Of Ugk
KJ-52,12 Round Knockout
James Horner,Rogue Wave - Instrumental
Cantor Pierre Pinchik,Rozo Deshabbos
Ted Nugent,Sunrize Fender (Fender Bass VI Solo)
Mungolian Jetset,Moonstruck
Master P,Let Me See It
Franz Schubert and  Leon Fleisher,I. Molto moderato
Mike McCready,Rae's Ring
Fadi Tabbal,Woolgathering
Éric Lapointe,Donnez-moi du gaz
Elia Cmiral,Hook The Radio
"""Pickin On Series""",Strong Enough
Stone Sour,"Outshined - Live Session from Sphere Studios, Los Angeles, CA, 2017"
Sissy Spacek,Mitten Spider
Raheem DeVaughn,Ask Yourself
"""Cannons Jug Stompers""",Riley's Wagon
Telephantom,Silence
The Cultural Studies,Bastardification
Johnny Cash,"A Boy Named Sue - Live at Madison Square Garden, New York, NY - December 1969"
Divididos,Cosas de Baboon
Peso Peso,EBT
Young Dolph,Crashin' Out
Franz Schmidt and  Alada Janoska and  Stanislav Mucha and  Alexander Lakatoš and  Ján Slávik and  Daniela Ruso,Quintet No. 1 in A Major: IV. Adagio
"Evelyn ""Champagne"" King",Bedroom Eyes
Unk,Fresh Dressed
Revolt Production Music,Mystikos
Domestic Problems,It's Alright
The Countdown Kids,Christ Was Born On Christmas Day
Barbra Streisand,Closer
Walter Bulwer,Old Mrs. Cuddledee
"""Cravin Dogs""",95% Dark Matter
Mission On Mars,It Came From Beyond The Stars
Trini Lopez,Kansas City
Nicole,Ghost Drive
William Tyler,A Clearing in the Field
Dream Theater,The Path That Divides
XOchitl,Cholito
UGK,PA Nigga
Jiří Antonín Benda and  Prague Chamber Orchestra and  Christian Benda,Sinfonia No. 10 in G Major: II. Andante
Oxford Camerata and  Lisa Beckley and  Gabriel Fauré,"Requiem, Op. 48: Requiem, Op. 48: Pie Jesu"
Six Feet Under,Open Coffin Orgy
Bob Mintzer Big Band,Computer
Crobot,Burn
Four Year Strong,Talking Myself in Circles
Jars Of Clay,Fade To Grey
Podipto,Can't Stand to Beg (45th Anniversary Deluxe Edition)
Michael Wollny,Father Lucifer
Lull,Moment 35
"""La Volée dCastors""",La tour / Reel d'la 132
Gloria Coates and  Siegerland Orchestra and  Jorge Rotter,"Symphony No. 1, ""Music on Open Strings"": IV. Refracted Mirror Canon for 14 Lines"
Peter Zak,So Sweet My Little Girl
Jeff Williams and  Casey Lee Williams,Armed and Ready (Falk Remix)
Mateus Castro,Shipibo Ayahuasca Icaros 2 of 3
Fagner,Sinal de Estrela
Linkin Park,Carousel - Hybrid Theory EP
Alan Jackson,(Who Says) You Can't Have It All
Dan Bern,Honeydoo!
Future Loop Foundation,Sunshine Philosophy - Rob da Bank And Chris Coco Remix
Arch Enemy,The Day You Died - Live
7-10 Split,Chainsaw Death Riot
Kattam et ses Tam-Tams,Forêt
Toby Fox,THE WORLD REVOLVING
Leonard Bernstein and  New York Philharmonic,"Symphonic Suite (From the Film ""On The Waterfront""): Andante (with dignity) - Presto barbaro Presto barbaro"
Joe and  Nas,Get To Know Me (feat. Nas)
Edie Sedgwick,Sally Field
M-Opus,Please Don't Let Me Go
Ludwig van Beethoven and  Stewart Goodyear,"Sonata #31 in A flat major, Op. 110:"
Jefferson Airplane,Star Track
Dolly Parton,Harper Valley PTA
Michael Tippett and  Faye Robinson and  Sarah Walker and  Jon Garrison and  John Cheek and  Simon Halsey and  City of Birmingham Symphony Chorus and  City Of Birmingham Symphony Orchestra,A Child of our Time: Part 2: The dark forces rise like a flood (Alto)
Conro,On My Way Up
Hell Fire,Victims
ANKHLEJOHN,Howard Crewneck
Cilla Black,Without You
Days Of The New,Enemy
Loch Lomond,Virgin Mountain
Downtown Boys,I'm Enough (I Want More)
Claude Debussy and  Jean-Efflam Bavouzet and  BBC Symphony Orchestra and  Yan Pascal Tortelier,Fantaisie: I. Andante ma non troppo
Helge Sunde Norske Store Orkester,R.I.P. (Piano Solo)
Triorganico,Kathy
Gustav Mahler and  Alessandra Marc and  Margaret Jane Wray and  Dagmar Peckova and  Eugenie Grunewald and  Glenn Winslade and  Anthony Michaels-Moore and  Peter Lika and  Europe Choir Academy and  Aurelius Sangerknaben Calw and  SWR Symphony Orchestra and  Michael Gielen,"Symphony No. 8 in E-Flat Major ""Symphony of a Thousand"": Ib. Imple superna gratia"
Pawa Up First,Introducing New Details
Sylvester Weaver,Guitar Rag
Alexandre Pierre François Boëly and  Christine Schornsheim,"30 Caprices ou pieces d'etude, Op. 2: No. 9 in A Minor: Allegro molto vivace"
Cane Mill Road and  Liam Purcell and  Eliot Smith and  Casey Lewis and  Tray Wellington,So Long
Eternal Oath,So Silent
Superchunk,Sick to Move - Live
Psion,Inversion
Viktor Kalabis and  Jory Vinikour and  Chicago Philharmoic and  Scott Speck,"Harpsichord Concerto, Op. 42: I. Allegro leggiero"
The Apocalypse Blues Revue,To Hell With You
Pimps of Joytime,H2O
Veeshy,Tropical Sunset - Original Mix
Toshio Hosokawa and  Susanne Elmark and  Ilse Eerens and  Basque National Orchestra and  Jun Markl,Nach dem Sturm
The Gasoline Gypsies,Something's Got to Give
"Charles Villiers Stanford and  Christopher Whitton and  ""Choir of St. Johns College and  Cambridge"" and  Christopher Robinson","For lo, I raise up, Op. 145"
Death,Story to Tell
4 Star View,Ghost Knocking
Johann Sebastian Bach and  Peter Serkin,"Invention No. 2 in C Minor, BWV 773"
Emilie Autumn,At What Point Does a Shakespeare Say
Anonymous and  Saint Frideswide Monks and Novices and  Jon Banks,Angelus ad Pastores
Winger,Headed for a Heartbreak
Ronny Smith,Just Groovin
F. Gregory Holland,Look No Further
Insomnium,While We Sleep
Meat Loaf,Sailor to a Siren
Eileen Ivers,Walk On
Jeremiah Johnson,Southern Drawl
dave borins,You Don't Really Love Me
Kim Carnes,Runaway
54-40,Can't Get Enough
Apathy and  Prime Element,Do I Belong
The Kimberly Trip,I Wanna Date Your Avatar
Column 5,Praise The Lord
Stephen Stills,Turn Back The Pages
Sebastian Maniscalco,Mall Huts
Pyotr Ilyich Tchaikovsky and  Arkady Sevidov,"Album for Children, Op. 39: La Nouvelle Poupée. Allegro"
Ross Rogen,Chicago
Illinois Jacquet,Jacquet Bounce
Chris Norman and  Suzi Quatro,Stumblin' In
Ghost In The Machine,Rodeo (Club mix)
Gareth Williams,"Main Theme (From ""Halloween"")"
Isadar,"In A Corner [from ""Near the Edge of Light,"" 1990]"
Bucky Halker,Poverty's Lament
Francis Dhomont,Pointe De Fuite
Jim White and  Aimee Mann and  M. Ward and  Joe Henry,Buzzards of Love
Charly Bliss,Blown to Bits
Abbie Gardner/Anthony da Costa,Crazy in Love
Mario Castelnuovo-Tedesco and  Brinton Averil Smith and  Houston Symphony and  Kazuki Yamada,"Cello Concerto, Op. 72: I. Sostenuto ed appassionato"
Big Mike Griffin,Satisfied
Den of Ashes,Easy Town
Jay Reatard,Turning Blue
John Mayer Trio,Wait Until Tomorrow - Live In Concert
BLeU ReD,All night
Christian Wolff-Jesse and  Roland Dahinden and  Dimitrios Polisoidis and  Hildegard Kleeb,Tilbury No. 5
The Strangeloves,I'm On Fire
The City of Prague Philharmonic Orchestra and  James Fitzpatrick,"The Golden Egg (From ""Harry Potter And The Goblet Of Fire"")"
George Benson,Down Here on the Ground - Live
II Tone,Ridin’ In Da Black Rain
Benjamin Wallfisch,We've Got a Lair
Witchtrap,Disturbing the Dead
Lesley Roy,Hang On
Galt MacDermot and  Tom Pierson,Walking In Space
Adam de la Halle and  Tonus Peregrinus and  Antony Pitts,Le jeu de Robin et de Marion (The Play of Robin and Marion): Scene 2: … and tastes some of her fare …
Haive Music,Meandering Meadow
The Utah County Swillers,Lonely
Danny Griego,The Coast Is Clear
Yrving & Lisa Yeras and  Conal Fowkes,"Barcarolle From ""The Tales of Hoffman"""
Kevin Krauter,Patience
Shadowy Men On A Shadowy Planet,You Spin Me Round '86
Joe Mullins and  Radio Ramblers,Granddad (the Preacher)
Kim Robertson,Irish Lamentation
Patrick Ball,Rory Dall's Sister's Lament
Dave Mason,Misty Morning Stranger
Jigg and  Mike Smiff,Trenches
Toph-E & the Pussycats,It Seems to Me
Sing n Play,We Need a Little Christmas
DaMixx,Push (It's Alright)
The O-Tones,Ain't That A Kick In The Head
Future in Plastics,Vs Fields
"Wallace ""Pine-Top"" Johnson and  Maudie Shirley and  and Jasper Love",Baby Loves to Boogie
"""Clayton Doleys Organ Donors""",Booker Table
Orchestra of the Florence May Festival and  Chorus of the Florence May Festival,"Il travatore: Act IV, ""Si, la stanchezza m'opprime, o figlio"""
Tom Odell,Jealousy
Gustav Mahler and  Deutsches Symphonie-Orchester Berlin and  Christoph Eschenbach,"Symphony No. 1 in D Major, ""Titan"": IV. Sturmisch bewegt"
Ramones,I Wanna Be Sedated
Young Heart Attack,El Camino
Back Alley Barbers,House of the Rising Sun
Shuyler Jansen,If It's Meant to Be
Influx,Notton
Grace Pettis and  Calloway Ritch,Beautiful World Outside
Ginette Reno,Where i belong
"""Dantes Lounge""",Flood
The Chamanas,La Verdad
JV,Money Up
Johann Adolf Hasse and  Emma Kirkby and  Agnes Mellon and  Randalk K. Wong and  Derek Lee Ragin and  Dominique Visse and  David Cordier and  Rheinische Kantorei and  Cappella Coloniensis and  William Christie,"Cleofide: Act I Scene 7: Recitative: Reina a te io vengo (Poro, Cleofide)"
Jackie Edwards,For Your Precious Love
Horseshoes & Hand Grenades,American Dream
In The Country and  Morten Qvenild and  Roger Arntzen and  Pål Hausken,Derrick
Juha Kujanpää,Kaustisen yömarssi
Alicia Bessette,Bright Circle
Naegleria Fowleri,Headache
The Pogues,"The Rake At The Gates Of Hell - The Janice Long Show, November 1986, Live"
The Wood Floors,The Drugs Will Have To Do
Olaf Berger,La Fiesta
John Cage and  Irvine Arditti,"Freeman Études, Books 3 & 4: No. 27, —"
Thomas Happ,Primordial Shores (Bonus Track)
Johann Sebastian Bach and  Ton Koopman and  Amsterdam Baroque Orchestra & Choir and  Johannete Zomer and  Sandrine Piau and  Sibylla Rubens and  The Amsterdam Baroque Orchestra & Opera and  Johannette Zomer,Ich geh und suche mit Verlangen - Dialogus - BWV 49: Aria and Chorale: Dich hab ich je und je gelieget
Dave McMurray,Just The Music
Oliver Schroer / Nuala Kennedy,The Whispering Wind
Minus the Bear,What About the Boat?
Nature of the Beast,Homeland Security
Anamanaguchi,Promotional Audio 1
Vieno Kekkonen,Tie - La Strada
Man Must Die,Elitist
Nightnoise,Something Of Time
Ennio Morricone and  Khatia Buniatishvili,"Deborah's Theme (From ""Once upon a Time in America"")"
Roger Miller,King Of The Road - Re-Recorded In Stereo
Elvin Bishop,Let Your Woman Have Her Way
JP Saxe and  Julia Michaels,If the World Was Ending - feat. Julia Michaels
Claudio Monteverdi and  Concerto Delle Dame Di Ferrara and  Sergio Vartolo,Amorosa pupilletta
Anton Bruckner and  Ania Vegry and  Philharmonischer Chor München and  Philharmonie Festiva and  Gerd Schaller,"Psalm 146, WAB 37: Solo and Chorus: Alleluja! Lobet den Herrn -Langsam"
Campo De Almas.,Prohibido
Hermanos Rincon,La Granja
Apophenia,All In
"Goodfelonz and  Tha Gamblaz and  Chuck The Beast and  ""Rappin 4-Tay""",Lay Low
Normanoak,The Ballad of Normanoak
Gaspard Le Roux and  Naoko Akutagawa and  Glen Wilson,Pieces de clavessin: Suite No. 5 in F Major: II. Allemande grave (1 hpschd)
Big Wreck,Everything Is Fine
Fever Ray and  Paula Temple,This Country - Paula Temple's INSTRUMENTAL Version
Billy Boy Arnold,Shake Your Hips
The Knickerbockers,What Does That Make You
Mike Janzen,Fragile
Clifton Davis,Turn Around
Mental Discipline and  Pulcher Femina,Worse - 2019 Version
Omar Apollo,Stayback
Giovanni Mossi and  Augusta McKay Lodge and  Doug Balliett and  Adam Cockerham and  Elliot Figg,"Violin Sonata in E Minor, Op. 6 No. 9: II. Allegro"
Electric Youth,Before Life
Black Eyed Vermillion,Perfectly Normal
The Hellboys,Angels
You Say Party! We Say Die!,Overture
Tim Graves and  Cherokee,There's Just The Four Of Us
Zoë Blade,Gunshu
Elliott,Ten Cent Inquiry
Samantha Bouquin,Tale for a Sunken Moon
Galimatias,Sly
"Giuseppe Verdi and  Maria Dragoni and  Kristjan Johannsson and  Barbara Dever and  Mark Rucker and  ""Francesco Ellero d Artegna"" and  Riccardo Ferrari and  Antonio Marcenò and  Monica Trini and  Colin Mawby and  RTÉ Philharmonic Choir and  RTE Chamber Choir and  Culwick Choral Society and  Bray Choral Society and  Dublin County Choir and  Dun Laoghaire Choral Society and  Cantabile Singers and  Goethe Institut Choir and  Musica Sacra and  The Phoenix Singers and  RTÉ National Symphony Orchestra and  Irish Army No. 1 Band and  Ricco Saccani",Aida: Preludio
Taylor Pursley,Pluto
Fapardokly,Suzie Cryin'
The Blues Brothers and  Joe Gastwirt,Hey Bartender - Live
Steve Herberman,Scooter's Blues
Joel Jerome,Fall to Pieces
Jay-J and  Charlene Moore,Love Alive - Jay-J’s Shifted Up Dub
Futuristic,Clock
Dietrich Buxtehude and  Bettina Pahn and  Ton Koopman and  Amsterdam Baroque Orchestra,"Sicut Moses exaltavit serpentem, BuxWV 97"
Románticos,Silence
Georg Kreisler and  Barbara Peters,Ihr wißt gar nichts
Wildside,Cold December Morning
Lachlan Grant Splendor,The Trend of Society
Ryan Friedrich,Return
NickBee,Third Entity - Original
Anna Wise and  Little Simz,Abracadabra
System Of A Down,Fuck the System
A$AP Rocky and  French Montana,Brotha Man (feat. French Montana)
Amery Rey Tuesta,The Tree
Tim Story,Bergen
Mobb Deep,Modd Muzik
Catriona McKay,Greenman
Anúna and  Lucy Champion,Blackthorn
Cher and  StoneBridge,"You Haven't Seen the Last of Me (StoneBridge Radio Mix from ""Burlesque"")"
Alasdair Fraser,Goodnight & Joy Be Wi' Ye A' - Gates Of Edinburgh - The Bottom OfThe Punch Bowl - The Cairdin' o't
HMS Morris,Babanod
Potshot,13
The Clash,Charlie Don't Surf - Remastered
Kool Keith,Metaphor Kingpin
Billy Dean,Somewhere In My Broken Heart
Tony Palkovic,Born With a Desire
Gorge & André Hommen,Hakunyo - Ray Okpara Remix
Tryhardninja,Welcome Back - Unplugged
Big Trip,Unhealed Scars
VGR,"Asgore (From ""Undertale"")"
Vitamin String Quartet,Enjoy The Silence
Insane Clown Posse,Intro
Alan Reid,Five Bridges To Cross
Mixtapes,Just When You Thought It Was Over
Andre Nickatina,Drought Season
Richard Cheese,Come Out And Play
Trappist,This Means Wort
Karol Szymanowski and  Robert Murray and  BBC Symphony Chorus and  BBC Symphony Orchestra and  Edward Gardner,"Harnasie, Op. 55: Tableau 1: Scena mimiczna, ""Harnas i Dziewczyna"" (Mimic Scene, ""The Harnas and the Girl"")"
Strong Bad,It's Its!
Autumn Flaw,Air Elementals
Barbara,La marche nuptiale
Madlib,Jungle Sounds Pt.2
Living Fossils,Bayou Noir
Marshall Styler,Flight of the Great Blue (South Padre Island)
Winger,Livin' just to Die
Gorgon,Everlasting Flame of Olympus
Gultskra Artikler,Vechnost
David Ippolito,A Lot of Lonely People
PHD,This Is For My Peeps
Kassé-Mady Diabaté,Sadjo
Bill Kimber,Over the Hills to Glory
The Band of the Hawk and  Yeaux Majesty,Tape Rock
PYLOT,The Place I Once Knew
Johann Sebastian Bach and  Robin Tyson and  James Gilchrist and  Stephen Varcoe and  The Monteverdi Choir and  English Baroque Soloists and  John Eliot Gardiner,"Wo gehest du hin?, BWV 166: ChoraleL Wer weiss, wie nahe mir mein Ende!"
Gloria Estefan,Light Of Love
Wes Montgomery,Ralph's New Blues
龔一 and  王森地 and  羅守誠,玉樓春曉
Frankie Miller,I'm Ragged but I'm Right
Anton Arensky and  BBC Philharmonic and  Vassily Sinaisky,"Symphony No. 2 in A Major, Op. 22: I. Allegro giocoso"
Epic Mountain,Skyhook
For Stars,The Astronaut Song
Ut Gret,Time Lapse
Rainbowdragoneyes,Starvved
Warhammer 48k,Failed Suicide Attempt #1
Judas Priest,Hell Patrol
Radioactive Man,Gone Forever
Thelonious Monk,Sweet and Lovely
Mark Cook,Ivory Prelude To Jet Lag
A.B. Skhy,Willie And The Hand Jive
Runway Richy and  Real Recognize Rio,Deep Fried
"""RBL Posses Black C""",Mary Jane
Herbert Howells and  Roderick Williams and  Katy Butler and  James Gilchrist and  The Bach Choir and  Bournemouth Symphony Orchestra and  David Hill,"Sir Patrick Spens, Op. 23"
Musiq Soulchild,Test Drive
Daron Malakian and Scars On Broadway,Assimilate
Jen Shyu,The Way You Look Tonight
Albert Castiglia,Triflin'
The Psychedelic Furs,Angels Don't Cry
Mad Buffalo and  James Burton and  Randy Riviere and  Michael Ward and  Dave Roe and  Jim Christie,Destination Unknown
Rings of Saturn,Bloated And Stiff
Cherry Glazerr,Self Explained
Chronixx,Ghetto Paradise
Via,Full Bloom
Michael Allen Harrison/Julianne Johnson,God Bless The Child
Laito Jr. & Laito Sr.,Tá Malo un Pié - Laito Jr.
Leslie Cheung,儂本多情
Tamia,No Way
Georg Kreisler,Warum
Ajoy Chakrabarty and  Samar Saha and  Jyoti Goho,Raga: Mishra Pahadi
The City of Prague Philharmonic Orchestra,"The Imperial March (From ""Star Wars: The Empire Strikes Back"")"
Leonardo,"Perto dos Olhos, Longe do Coração"
Wo Fat,Enter the Riffian
Ottorino Respighi and  Munich Radio Orchestra and  Henry Raudales,"Antiche danze ed arie per liuto, Suite No. 2, P. 138: III. Campanae Parisienses - Aria"
Johnny Maddox,Prisoners Song / Lay My Head Beneath A Rose
Sustance,One Away
LOU,Beyond (Album Version)
Reflections,Banish Misfortune
Blktop Project,Beans for Breakfast
Resident Clark,Stallin'
Anthony & Joseph Paratore,Debussy: Petite Suite ~ Cortege
Bishmanrock,Fire
Umberto Giordano and  Enrico Caruso,Amor ti vieta
Polska,You Still Play Percussion?
Ulvi Cemal Erkin and  Borusan Istanbul Philharmonic Orchestra and  Pelin Halkacı Alkın and  Sascha Goetzel,"Köçekçe, Dance Rhapsody for Orchestra"
El Gran Combo De Puerto Rico,Y No Hago Mas Na' - Reggaeton Mix
Ildebrando Pizzetti and  Nicola Rossi-Lemeni and  Aldo Bertocci and  Leyla Gencer and  Gabriella Carturan and  Unknown and  Mario Ortica and  Dino Dondi and  Adolfo Cormanni and  Antonio Cassinelli and  Nicola Zaccaria and  Lino Puglisi and  Rinaldo Pelizzoni and  Enrico Campi and  Silvio Majonica and  Marco Stefanoni,"Pizzetti: Assassinio nella cattedrale: Dies irae, dies illa, solvet saeclum in favilla - Act Two"
40 Winks,You (Interlude)
Ozzy Osbourne,Revelation (Mother Earth)
LADAMA,Agreste
Lunarsea,The Earthling
Otis Redding,Sweet Lorene
Andrey Gubin,Мягкие лапки
Matthew Good,Enjoy The Silence
Akatharta,Phantasmagories
Napoléon Coste and  Marc Teicholz,Marche Funebre: Maestoso
Terry Malts,Human Race
Mátti Kovler and  Ami & Tami Orchestra,Overture
Luke Kelly,The Night Visiting Song
Derek Bell,The Christ Child's Asleep
Randy Meisner,Take It Easy
Eddy Herrera,Minimo
Great Lakes Myth Society,Nightfall at Electric Park
DJ Khaled and  PARTYNEXTDOOR and  Future and  Travis Scott and  Rick Ross and  Kodak Black,"Down for Life (feat. PARTYNEXTDOOR, Future, Travis Scott, Rick Ross & Kodak Black)"
Koko Taylor,I Cried Like A Baby
The Osborne Brothers,Rutland's Reel
Broadbent / A. Cline / N. Cline / Erskine / Pasqua,Marry Me
Fourth World and  Airto Moreira and  Flora Purim and  José Neto and  Fila Brazillia,Light as a Feather (Remixed by Fila Brazilia)
Catherine McGrath,Lost in the Middle
Eugene Edwards,Telling That Lie Again
The Cars,Shake It Up - 2016 Remaster
Victims Family,Let's Cancel The Future
Jack Adaptor,Last Minute Gifts
JP HOE,My Silhouette
Don Braden,Montclair
Céu,Make Sure Your Head Is Above
Malbec and  Siuzanna,Рядом с тобой
Philter,Cheese (Urban Assault)
Laurent Garnier,Enchanté - Original Version
Dax,Self Proclaimed 3
Abi Tapia,Motion Sickness
Poco,You Are the One - Live
Armando Garzón,Capullito de Alhelí
Mikey Dread,Datc Tribute to King Tubby - Dub / Instrumental Reggae Music
Burnt Friedman and  Jaki Liebezeit,Morning Has Broken
DJ Roc,Redemption
Sam Rizzetta,Maddie's Garden
Billy Hancock,Rootie Tootie (live)
Jerry Rivera,No Me Olvidarás
Dennis Brown,Three Meals A Day
Edvard Grieg and  Einar Steen-Nøkleberg,Norway's Melodies: Everyone Wants to Know Evan
Benümb,Blind
Bavgate and  G-Stack and  Mistah F.A.B.,Oakland
